Non-GPO,GPO
dl36.siccode        ,financials.quartiles.full_quartiles.sic_information1980.code
dl36.siccode1992    ,financials.quartiles.full_quartiles.sic_information1992.code
dl36.siccodedesc1980,financials.quartiles.full_quartiles.sic_information1980.description
dl36.siccodedesc1992,financials.quartiles.full_quartiles.sic_information1992.description
dl36.stocktnolower  ,financials.quartiles.full_quartiles.stock_turnover_lower
dl36.stocktnomedian ,financials.quartiles.full_quartiles.stock_turnover_median
dl36.stocktnoupper  ,financials.quartiles.full_quartiles.stock_turnover_upper
dl36.tangasstsperemplower,financials.quartiles.full_quartiles.tang_assets_per_emp_lower
dl36.tangasstsperempmedian,financials.quartiles.full_quartiles.tang_assets_per_emp_median
dl36.tangasstsperempupper,financials.quartiles.full_quartiles.tang_assets_per_emp_upper
dl36.totasstsperemplower,financials.quartiles.full_quartiles.tot_assets_per_emp_lower
dl36.totasstsperempmedian,financials.quartiles.full_quartiles.tot_assets_per_emp_median
dl36.totasstsperempupper,financials.quartiles.full_quartiles.tot_assets_per_emp_upper
dl36.workcapsaleslower,financials.quartiles.full_quartiles.working_cap_lower
dl36.workcapsalesmedian,financials.quartiles.full_quartiles.working_cap_median
dl36.workcapsalesupper,financials.quartiles.full_quartiles.working_cap_upper
dl36.yearend        ,financials.quartiles.full_quartiles.year_end
dl36._seq           ,?
dl38.avremunempchg  ,?
dl38.borrowingchg   ,?
dl38.capempchg      ,?
dl38.compclass      ,?
dl38.consaccs       ,?
dl38.credperiodchg  ,?
dl38.curassetstotchg,?
dl38.curliabstotchg ,?
dl38.currency       ,?
dl38.currentchg     ,?
dl38.dateaccs_dd    ,?
dl38.dateaccs_mm    ,?
dl38.dateaccs_yyyy  ,?
dl38.debtgearchg    ,?
dl38.equitygearchg  ,?
dl38.expturnchg     ,?
dl38.fixedassetestotchg,?
dl38.grossassetschg ,?
dl38.issuedcapchg   ,?
dl38.netcurassetschg,?
dl38.networthchg    ,?
dl38.numempschg     ,?
dl38.pretaxproflosschg,?
dl38.pretaxprofmargchg,?
dl38.profempchg     ,?
dl38.regnumber      ,?
dl38.retdearningschg,?
dl38.retdproflosschg,?
dl38.retncapitalchg ,?
dl38.totnetassetchg ,?
dl38.totshldrsfundschg,?
dl38.totturnchg     ,?
dl38.turnempchg     ,?
dl38.ukturnchg      ,?
dl38.weeks          ,?
dl38._seq           ,?
dl41.comnterms      ,payment_performance.payment_full.common_terms
dl41.compavgdbt_12mth,payment_performance.payment_full.avg_dbt12_mnths
dl41.compavgdbt_3mth,payment_performance.payment_full.avg_dbt3_mnths
dl41.compavgdbt_6mth,payment_performance.payment_full.avg_dbt6_mnths
dl41.compcforproforma,?
dl41.compcollaccs   ,payment_performance.payment_full.number_collection
dl41.compcollaccsval,payment_performance.payment_full.val_collection
dl41.compdbtmthly   ,payment_performance.payment_full.company_dbt_monthly
dl41.compnumdbt_1000,payment_performance.payment_full.number_dbt1_k
dl41.compnumdbt_10000,payment_performance.payment_full.number_dbt10_k
dl41.compnumdbt_100000,payment_performance.payment_full.number_dbt100_k
dl41.compnumdbt_100000plus,payment_performance.payment_full.number_dbt100_k_plus
dl41.compnummths    ,payment_performance.payment_full.company_num_mnths
dl41.comppaypattn   ,payment_performance.payment_full.payment_pattern
dl41.fastestmth_mm  ,payment_performance.payment_full.fastest_month
dl41.fastestmth_yyyy,payment_performance.payment_full.fastest_month
dl41.fastestpaymnt  ,payment_performance.payment_full.fastest_payment
dl41.indavgdbt_12mth,payment_performance.payment_full.ind_avg_dbt12_mnths
dl41.indavgdbt_3mth ,payment_performance.payment_full.ind_avg_dbt3_mnths
dl41.indavgdbt_6mth ,payment_performance.payment_full.ind_avg_dbt6_mnths
dl41.inddbtmthly    ,payment_performance.payment_full.ind_dbt_monthly
dl41.indnumdbt_1000 ,payment_performance.payment_full.ind_number_dbt1_k
dl41.indnumdbt_10000,payment_performance.payment_full.ind_number_dbt10_k
dl41.indnumdbt_100000,payment_performance.payment_full.ind_number_dbt100_k
dl41.indnumdbt_100000plus,payment_performance.payment_full.ind_number_dbt100_k_plus
dl41.indnummths     ,payment_performance.payment_full.industry_num_mnths
dl41.indpaypattn    ,payment_performance.payment_full.ind_payment_pattern
dl41.indsicdesc     ,payment_performance.payment_full.industry_sic_desc
dl41.lencomnterms   ,?
dl41.lenindsicdesc  ,?
